Months,Year,No. of Banks live on UPI,Count of UPI transactions (In Mn),Total Amount of UPI transactions (In Mn)                              
April,2016,21,0,0
May,2016,21,0,0
June,2016,21,0,0
July,2016,21,0,0
August,2016,21,0,3
September,2016,25,0,33
October,2016,26,0,49
November,2016,30,0,100
December,2016,35,2,708
January,2017,36,4,1696
February,2017,44,4,1938
March,2017,44,6,2425
April,2017,48,7,2271
May,2017,49,9,2797
June,2017,52,10,3098
July,2017,53,12,3411
August,2017,55,17,4157
September,2017,57,31,5326
October,2017,60,77,7058
November,2017,61,105,9669
December,2017,67,146,13174
January,2018,71,152,15571
February,2018,86,171,19126
March,2018,91,178,24173
April,2018,97,190,27022
May,2018,101,189,33289
June,2018,110,246,0
July,2018,114,274,0
August,2018,114,312,0
September,2018,122,406,0
October,2018,128,482,74978
November,2018,128,525,82232
December,2018,129,620,102595
January,2019,134,673,109932
February,2019,139,674,106737
March,2019,142,800,133461
April,2019,144,782,142034
May,2019,143,734,152449
June,2019,142,755,146566
July,2019,143,822,146387
August,2019,141,918,154505
September,2019,141,955,161457
October,2019,141,1148,191360
November,2019,143,1219,189229
December,2019,143,1308,202521
January,2020,144,1305,216243
February,2020,146,1326,222517
March,2020,148,1247,206462
April,2020,153,1000,151141
May,2020,155,1234,218392
June,2020,155,1337,261835
July,2020,164,1497,290538
August,2020,168,1619,298308
September,2020,174,1800,329028
October,2020,189,2072,386107
November,2020,200,2210,390999
December,2020,207,2234,416176
January,2021,207,2303,431182
February,2021,213,2293,425063
March,2021,216,2732,504886
April,2021,220,2641,493664
May,2021,224,2540,490639
June,2021,229,2808,547373
July,2021,235,3248,606281
August,2021,249,3556,639117
September,2021,259,3654,654352
October,2021,261,4219,771445
November,2021,274,4186,768436
December,2021,282,4566,826848
January,2022,297,4617,831993
February,2022,304,4527,826843
March,2022,314,5406,960582
April,2022,316,5583,983302
May,2022,323,5955,1041520
June,2022,330,5863,1014384
July,2022,338,6288,1062992
August,2022,346,6580,1072793
September,2022,358,6781,1116438
October,2022,365,7305,1211583
November,2022,376,7309,1190593
December,2022,382,7829,1282055
January,2023,385,8037,1298727
February,2023,390,7535,1235847
March,2023,399,8685,1410443
April,2023,414,8863,1415505
May,2023,445,9415,1489145
June,2023,458,9335,1475464
July,2023,473,9965,1533536
August,2023,484,10586,1576537
September,2023,492,10556,1579133
October,2023,505,11409,1715768
November,2023,516,11235,1739741
December,2023,522,12020,1822949
January,2024,550,12203,1841084
February,2024,560,12103,1827869
March,2024,572,13440,1978353
April,2024,583,13304,1964465
May,2024,598,14036,2044937
June,2024,602,13885,2007081
July,2024,605,14436,2064292
August,2024,608,14963,2060736
September,2024,622,15042,2063995
October,2024,632,16585,2349821
November,2024,637,15482,2155187
December,2024,641,16730,2324700
January,2025,647,16996,2348037
February,2025,653,16106,2196482
March,2025,661,18302,2477222
