Unnamed: 0,Unnamed: 1,Unnamed: 2,2017-2018,Unnamed: 4,Unnamed: 5,SourceFile,Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
,,Months,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.),"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Mar-2018,91,178.05,24172.6,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Feb-2018,86,171.4,19126.2,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Jan-2018,71,151.83,15571.2,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Dec-2017,67,145.64,13174.24,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,17-18,Nov-2017,61,105.02,9669.33,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Oct-2017,60,76.96,7057.78,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Sep-2017,57,30.98,5325.81,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Aug-2017,55,16.8,4156.62,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Jul-2017,53,11.63,3411.35,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Jun-2017,52,10.35,3098.36,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,May-2017,49,9.36,2797.07,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Apr-2017,48,7.2,2271.24,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,,,,,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,,,,,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,,2016-2017,,,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Mar-2017,44,6.37,2425.14,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Feb-2017,44,4.38,1937.71,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Jan-2017,36,4.46,1696.22,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Dec-2016,35,1.99,707.93,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,16-17,Nov-2016,30,0.2902777777777778,100.46,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Oct-2016,26,0.1,48.57,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Sep-2016,25,0.09027777777777778,32.64,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Aug-2016,21,0.09027777777777778,3.09,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Jul-2016,21,0.09027777777777778,0.3798611111111111,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Jun-2016,21,0,0,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,May-2016,21,0,0,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,Apr-2016,21,0,0,"C:/Users/lakshita rawat/Downloads/Excel_file_upi\2016-2017, 2017-2018.xlsx",,,,
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,March-2019,142.0,799.54,"1,33,460.72"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,February-2019,139.0,674.19,"1,06,737.12"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,January-2019,134.0,672.75,"1,09,932.43"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,December-2018,129.0,620.17,"1,02,594.82"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,November-2018,128.0,524.94,82232.21
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,October-2018,128.0,482.36,74978.27
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,September-2018,122.0,405.87,October-2063
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,August-2018,114.0,312.02,June-2048
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,July-2018,114.0,273.75,December-2041
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,June-2018,110.0,246.37,October-2011
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,May-2018,101.0,189.48,33288.51
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2018-19-Monthly.xlsx,April-2018,97.0,190.08,27021.85
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,March-2020,148.0,1246.84,"2,06,462.31"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,February-2020,146.0,1325.69,"2,22,516.95"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,January-2020,144.0,1305.02,"2,16,242.97"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,December-2019,143.0,1308.4,"2,02,520.76"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,November-2019,143.0,1218.77,"1,89,229.09"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,October-2019,141.0,1148.36,"1,91,359.94"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,September-2019,141.0,955.02,"1,61,456.56"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,August-2019,141.0,918.35,"1,54,504.89"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,July-2019,143.0,822.29,"1,46,386.64"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,June-2019,142.0,754.54,"1,46,566.35"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,May-2019,143.0,733.54,"1,52,449.29"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2019-20-Monthly.xlsx,April-2019,144.0,781.79,"1,42,034.39"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,March-2021,216.0,2731.68,"5,04,886.44"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,February-2021,213.0,2292.9,"4,25,062.76"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,January-2021,207.0,2302.73,"4,31,181.89"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,December-2020,207.0,2234.16,"4,16,176.21"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,November-2020,200.0,2210.23,"3,90,999.15"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,October-2020,189.0,2071.62,"3,86,106.74"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,September-2020,174.0,1800.14,"3,29,027.66"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,August-2020,168.0,1618.83,"2,98,307.61"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,July-2020,164.0,1497.36,"2,90,537.86"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,June-2020,155.0,1336.93,"2,61,835.00"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,May-2020,155.0,1234.5,"2,18,391.60"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2020-21-Monthly.xlsx,April-2020,153.0,999.57,"1,51,140.66"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,March-2022,314.0,5405.65,"9,60,581.66"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,February-2022,304.0,4527.49,"8,26,843.00"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,January-2022,297.0,4617.15,"8,31,993.11"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,December-2021,282.0,4566.3,"8,26,848.22"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,November-2021,274.0,4186.48,"7,68,436.11"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,October-2021,261.0,4218.65,"7,71,444.98"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,September-2021,259.0,3654.3,"6,54,351.81"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,August-2021,249.0,3555.55,"6,39,116.95"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,July-2021,235.0,3247.82,"6,06,281.14"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,June-2021,229.0,2807.51,"5,47,373.17"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,May-2021,224.0,2539.57,"4,90,638.65"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2021-22-Monthly.xlsx,April-2021,220.0,2641.06,"4,93,663.68"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2022-23-Monthly.xlsx,March-2023,399.0,8685.3,"14,10,443.01"
,,,,,,C:/Users/lakshita rawat/Downloads/Excel_file_upi\2022-23-Monthly.xlsx,February-2023,390.0,7534.76,"12,35,846.62"
