,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment System Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/Year,A. Settlement Systems,,,,,,,,,,,,,,B. Payment Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Other Payment Channels,,,,,,,,,,,,B. ATMs,,,,,,,,,,,,,,,,,,Payment System Infrastructures,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial Market Infrastructures (FMIs),,,,,,,,,,,,,,I Financial Market Infrastructures (FMIs),,,,,,II Retail,,,,,,,,,,,,,,,,,,,,,,3.2 ECS Dr ,,II Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2 Others ,,II Retail,,,,,,  ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1   CCIL Operated Systems (1.1 to 1.3),,1.1 Govt. Securities Clearing (1.1.1 to 1.1.3),,1.1.1 Outright,,1.1.2 Repo,,1.1.3 Tri-party Repo,,1.2 Forex Clearing,,1.3 Rupee Derivatives @,,1 Credit Transfers - RTGS (1.1 to 1.2),,1.1 Customer Transactions,,1.2 Interbank Transactions,,2 Credit Transfers - Retail (2.1 to 2.7),,2.1 AePS (Fund Transfers) @,,2.2 APBS $,,2.3 ECS Cr,,2.4 IMPS,,2.5 NACH Cr $,,2.6 NEFT,,2.7 UPI @,,2.7.1 of which USSD @,,3 Debit Transfers and Direct Debits (3.1 to 3.4),,3.1 BHIM Aadhaar Pay @,,3.2 ECS Dr ,,3.3 NACH Dr $,,3.4 NETC (linked to bank account) @,,4 Card Payments (4.1 to 4.2),,4.1 Credit Cards (4.1.1 to 4.1.2),,4.1.1 PoS based $,,4.1.2 Others $,,4.2 Debit Cards (4.2.1 to 4.2.1 ),,4.2.1 PoS based $,,4.2.2 Others $,,5 Prepaid Payment Instruments (5.1 to 5.2),,5.1 Wallets,,5.2 Cards (5.2.1 to 5.2.2),,5.2.1 PoS based $,,5.2.2 Others $,,6 Paper-based Instruments (6.1 to 6.2),,6.1 CTS (NPCI Managed),,6.2 Others ,,Total - Retail Payments (2+3+4+5+6),,Total Payments (1+2+3+4+5+6),,Total Digital Payments (1+2+3+4+5),,1 Mobile Payments (mobile app based) (1.1 to 1.2),,1.1 Intra-bank $,,1.2 Inter-bank $,,2 Internet Payments (Netbanking / Internet Browser Based) @ (2.1 to 2.2),,2.1 Intra-bank @,,2.2 Inter-bank @,,3 Cash Withdrawal at ATMs $ (3.1 to 3.3),,3.1 Using Credit Cards $,,3.2 Using Debit Cards $,,3.3 Using Pre-paid Cards $,,4 Cash Withdrawal at PoS $ (4.1 to 4.2),,4.1 Using Debit Cards $,,4.2 Using Pre-paid Cards $,,5   Cash Withrawal at Micro ATMs @,,5.1 AePS @,,1 Number of Cards (1.1 to 1.2),,1.1 Credit Cards,,1.2 Debit Cards,,2 Number of PPIs @ (2.1 to 2.2),,2.1 Wallets @,,2.2 Cards @,,3 Number of ATMs (3.1 to 3.2),,3.1 Bank owned ATMs $,,3.2 White Label ATMs $,,4   Number of Micro ATMs @,,5   Number of PoS Terminals ,,6   Bharat QR @,,7 UPI QR *,
,Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores )
Jun-2025,5.30,"3,09,59,727",1.77,"1,79,46,468",1.05,"16,11,829",0.51,"78,94,091",0.21,"84,40,549",3.39,"1,19,68,143",0.14,"10,45,117",254.88,"1,90,12,360",253.73,"1,69,83,278",1.15,"20,29,082",200519.84,"69,57,478",0.30,16,2841.94,"48,247",-,-,4481.05,"6,06,356",1325.97,"1,34,188",7920.52,"37,64,742",183950.06,"24,03,931",1.18,21,1891.36,"2,10,754",18.27,615,-,-,1728.39,"2,09,956",144.70,183,5672.82,"2,18,552",4587.10,"1,83,088",2338.70,"67,468",2248.41,"1,15,620",1085.72,"35,463",812.90,"23,079",272.82,"12,384",6868.39,"20,740",5338.82,"17,308",1529.57,"3,432",595.05,888,934.51,"2,544",447.43,"5,50,176",447.43,"5,50,176",0.00,0,215399.84,"79,57,700",215654.72,"2,69,70,060",215207.29,"2,64,19,884",170054.63,"33,85,251",8974.93,"5,29,331",161079.71,"28,55,919",3635.82,"1,28,24,960",839.90,"69,18,867",2795.92,"59,06,093",4382.08,"2,29,907",6.28,345,4358.58,"2,28,735",17.22,827,0.14,1,0.11,1,0.02,0,944.62,"25,646",944.62,"25,646",11163.78,-,1111.97,-,10051.80,-,13520.65,-,8681.92,-,4838.73,-,2.51,-,2.15,-,0.36,-,14.59,-,117.91,-,67.21,-,6782.51,-
May-2025,5.48,"2,96,56,042",1.94,"1,75,00,816",1.28,"18,75,057",0.45,"76,45,792",0.21,"79,79,967",3.44,"1,13,63,617",0.10,"7,91,608",274.71,"1,70,13,770",273.46,"1,52,19,873",1.25,"17,93,897",203656.72,"71,46,649",0.31,17,2786.17,"50,985",-,-,4636.60,"6,40,867",1243.57,"1,47,380",8215.47,"37,93,103",186774.60,"25,14,297",1.79,33,1895.74,"2,06,368",19.51,641,-,-,1723.65,"2,05,535",152.58,192,5827.40,"2,26,810",4676.93,"1,89,832",2359.14,"69,607",2317.79,"1,20,224",1150.47,"36,978",861.57,"24,735",288.90,"12,243",7106.39,"20,722",5474.25,"16,668",1632.13,"4,053",650.54,981,981.59,"3,072",481.93,"5,96,239",481.93,"5,96,239",0.00,0,218968.18,"81,96,787",219242.89,"2,52,10,557",218760.96,"2,46,14,318",173238.90,"36,41,750",9743.77,"6,38,772",163495.14,"30,02,978",3668.66,"1,16,61,241",851.54,"60,68,349",2817.12,"55,92,892",4604.61,"2,46,201",6.70,370,4579.88,"2,44,945",18.03,886,0.15,2,0.13,1,0.03,0,1017.25,"27,668",1017.25,"27,668",11115.67,-,1111.98,-,10003.70,-,13513.51,-,8692.12,-,4821.38,-,2.57,-,2.21,-,0.36,-,14.78,-,115.89,-,66.64,-,6698.20,-
Apr-2025,5.07,"2,93,99,814",1.89,"1,66,57,576",1.30,"20,17,823",0.38,"70,78,422",0.20,"75,61,331",3.07,"1,19,92,139",0.11,"7,50,099",262.41,"1,68,95,789",261.16,"1,50,60,026",1.24,"18,35,763",194925.94,"71,26,205",0.30,16,2610.51,"57,566",-,-,4492.53,"6,21,666",1200.84,"1,54,683",7687.52,"38,97,348",178934.24,"23,94,926",1.22,13,1869.90,"1,98,565",17.39,601,-,-,1709.27,"1,97,780",143.24,184,5673.64,"2,22,351",4502.70,"1,84,237",2281.41,"67,899",2221.29,"1,16,338",1170.93,"38,113",875.30,"26,187",295.63,"11,926",6768.43,"21,254",5157.38,"15,896",1611.04,"5,358",649.25,"1,093",961.79,"4,265",494.77,"6,45,079",494.77,"6,45,079",0.00,0,209732.67,"82,13,454",209995.08,"2,51,09,243",209500.31,"2,44,64,164",165815.85,"35,05,147",9304.93,"6,17,898",156510.92,"28,87,249",3653.49,"1,16,33,517",838.00,"60,48,107",2815.49,"55,85,409",4602.65,"2,44,747",6.86,373,4578.06,"2,43,494",17.73,881,0.17,2,0.15,1,0.02,0,928.36,"25,662",928.36,"25,662",11064.20,-,1104.36,-,9959.84,-,13444.93,-,8719.54,-,4725.39,-,2.55,-,2.19,-,0.36,-,14.74,-,112.91,-,66.84,-,6624.75,-
Mar-2025,4.36,"2,79,36,158",1.33,"1,53,56,048",0.76,"12,97,378",0.36,"65,89,738",0.21,"74,68,932",2.94,"1,17,58,724",0.09,"8,21,387",307.03,"2,14,01,969",305.71,"1,93,94,683",1.32,"20,07,287",202008.61,"82,42,601",0.31,16,3506.60,"66,841",-,-,4616.39,"6,67,813",1861.26,"1,76,401",9008.97,"48,54,308",183015.08,"24,77,222",1.26,14,1891.35,"2,11,047",19.59,611,-,-,1724.79,"2,10,246",146.97,191,5789.52,"2,40,549",4586.50,"2,01,494",2302.66,"71,473",2283.84,"1,30,021",1203.02,"39,055",895.82,"25,818",307.20,"13,237",6783.69,"21,465",5061.17,"16,077",1722.52,"5,388",648.24,"1,016",1074.28,"4,372",531.76,"6,59,873",531.76,"6,59,873",0.00,0,217004.93,"93,75,535",217311.96,"3,07,77,505",216780.20,"3,01,17,631",171174.23,"37,69,671",9863.76,"6,70,272",161310.47,"30,99,400",4096.24,"1,39,92,340",1009.09,"73,19,249",3087.15,"66,73,091",4983.78,"2,63,892",7.43,410,4957.22,"2,62,540",19.13,942,0.22,2,0.19,2,0.03,0,1102.31,"29,561",1102.31,"29,561",11006.97,-,1098.85,-,9908.12,-,13396.53,-,8673.62,-,4722.91,-,2.56,-,2.20,-,0.36,-,14.82,-,110.98,-,67.18,-,6579.30,-
Feb-2025,3.72,"2,51,71,733",1.16,"1,41,37,926",0.63,"10,88,598",0.33,"59,16,603",0.20,"71,32,725",2.45,"99,57,432",0.12,"10,76,374",244.20,"1,60,99,371",243.05,"1,42,26,027",1.16,"18,73,344",177394.61,"64,97,660",0.28,16,3103.12,"57,097",-,-,4048.29,"5,63,082",1533.06,"1,40,881",7647.93,"35,40,103",161061.93,"21,96,482",1.15,13,1862.80,"1,93,068",15.67,494,-,-,1701.10,"1,92,387",146.03,186,5052.09,"2,01,522",3969.59,"1,67,208",1999.96,"62,125",1969.63,"1,05,083",1082.50,"34,314",803.42,"23,216",279.07,"11,098",6398.44,"19,236",4850.75,"14,404",1547.69,"4,833",641.84,969,905.86,"3,863",462.02,"5,40,834",462.02,"5,40,834",0.00,0,191169.95,"74,52,321",191414.16,"2,35,51,692",190952.14,"2,30,10,857",150031.46,"32,15,517",8703.42,"5,58,355",141328.04,"26,57,162",3635.80,"1,03,39,284",1003.69,"53,54,635",2632.11,"49,84,649",4497.97,"2,35,618",6.84,370,4473.77,"2,34,408",17.36,840,0.22,2,0.19,2,0.03,0,921.64,"23,605",921.64,"23,605",10949.92,-,1093.15,-,9856.77,-,13614.38,-,9001.61,-,4612.77,-,2.58,-,2.22,-,0.36,-,14.68,-,107.18,-,65.48,-,6496.91,-
Jan-2025,4.88,"3,02,96,790",1.77,"1,78,07,347",1.10,"16,27,265",0.41,"72,88,494",0.25,"88,91,588",2.94,"1,11,64,125",0.17,"13,25,318",268.15,"1,74,99,363",266.89,"1,55,71,748",1.26,"19,27,615",186538.41,"70,00,487",0.31,18,2263.21,"52,280",-,-,4442.23,"6,06,420",1304.72,"1,45,699",8567.93,"38,48,033",169960.01,"23,48,037",1.38,16,1878.45,"1,99,535",15.79,486,-,-,1715.83,"1,98,857",146.83,193,5522.42,"2,23,090",4305.72,"1,84,126",2177.43,"69,429",2128.29,"1,14,697",1216.69,"38,963",910.91,"25,999",305.78,"12,965",6547.10,"19,496",4875.14,"14,700",1671.97,"4,796",701.18,"1,000",970.79,"3,796",516.61,"6,06,756",516.61,"6,06,756",0.00,0,201003.00,"80,49,363",201271.14,"2,55,48,726",200754.53,"2,49,41,970",158794.78,"34,51,865",9234.72,"6,07,541",149560.06,"28,44,325",4167.05,"1,16,39,721",1212.87,"61,30,804",2954.18,"55,08,917",4910.07,"2,51,938",7.79,412,4883.53,"2,50,646",18.75,879,0.27,3,0.24,3,0.03,0,915.09,"23,246",915.09,"23,246",10909.12,-,1088.73,-,9820.39,-,13463.21,-,8954.73,-,4508.48,-,2.57,-,2.21,-,0.36,-,14.74,-,103.53,-,64.43,-,6401.65,-
Dec-2024,3.78,"2,74,48,820",1.49,"1,65,06,680",0.84,"13,48,782",0.41,"63,77,679",0.24,"87,80,219",2.16,"99,19,285",0.13,"10,22,855",262.29,"1,91,63,587",261.11,"1,71,61,423",1.17,"20,02,163",183786.41,"69,35,632",0.31,17,2451.41,"58,705",-,-,4411.64,"6,01,549",1315.94,"1,35,695",8307.02,"38,14,966",167300.09,"23,24,700",1.56,16,1905.47,"1,98,303",17.18,547,-,-,1738.32,"1,97,549",149.97,207,5608.59,"2,28,548",4328.50,"1,87,949",2240.03,"73,048",2088.46,"1,14,901",1280.10,"40,599",964.50,"27,609",315.60,"12,990",6377.99,"18,992",4830.75,"14,437",1547.24,"4,556",684.93,991,862.31,"3,565",506.56,"5,87,879",506.56,"5,87,879",0.00,0,198185.02,"79,69,354",198447.31,"2,71,32,941",197940.75,"2,65,45,062",156762.66,"34,55,800",9183.14,"6,18,347",147579.52,"28,37,453",4072.71,"1,22,03,095",1155.00,"64,14,756",2917.71,"57,88,339",4950.77,"2,52,471",8.12,429,4923.54,"2,51,161",19.11,881,0.29,3,0.26,3,0.03,0,910.87,"23,195",910.87,"23,195",10990.04,-,1080.56,-,9909.48,-,13269.07,-,8904.25,-,4364.82,-,2.55,-,2.19,-,0.36,-,14.67,-,100.01,-,63.83,-,6334.39,-
Nov-2024,2.61,"2,05,92,498",1.10,"1,39,54,925",0.54,"8,47,485",0.35,"53,66,007",0.20,"77,41,434",1.40,"59,72,544",0.11,"6,65,029",240.29,"1,48,26,882",239.16,"1,35,04,833",1.12,"13,22,050",170358.50,"62,74,182",0.30,14,2250.97,"32,384",-,-,4079.18,"5,58,328",1438.33,"1,47,385",7769.51,"33,80,884",154820.21,"21,55,187",1.56,16,1894.74,"1,85,643",19.29,629,-,-,1732.94,"1,84,814",142.51,200,5171.02,"2,08,387",3936.04,"1,69,298",2036.02,"68,233",1900.02,"1,01,065",1231.89,"39,010",916.24,"26,677",315.65,"12,333",5847.81,"19,214",4462.09,"13,130",1385.72,"6,083",663.27,915,722.45,"5,168",472.48,"5,37,849",472.48,"5,37,849",0.00,0,183744.55,"72,25,275",183984.84,"2,20,52,158",183512.36,"2,15,14,309",144939.48,"32,15,469",8518.56,"5,98,558",136420.92,"26,16,911",3624.01,"90,02,230",1024.09,"44,83,631",2599.92,"45,18,598",4760.71,"2,41,717",7.75,410,4734.61,"2,40,471",18.35,837,0.28,3,0.27,3,0.02,0,898.33,"22,981",898.33,"22,981",11008.78,-,1072.40,-,9936.38,-,15624.08,-,11460.53,-,4163.55,-,2.55,-,2.20,-,0.35,-,14.43,-,96.91,-,63.60,-,6260.92,-
